exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
coingeckoexchangerates,Coingecko,74,0.0000062994477337763554000000000000000000,2427.8400000000000000,1,False,https://www.coingecko.com/es,1750493952997
btctradeua,BTC Trade UA,75,0.0000042013593347213432000000000000000000,1619.2257922100567513,5,False,https://btc-trade.com.ua/,1750493969696
Fraxswap (BSC),Fraxswap (BSC),76,0.0000019669442636105259000000000000000000,758.0705742440433355,1,True,empty_uri,1750490367462
Uniswap V2 (Arbitrum),Uniswap V2 (Arbitrum),77,0.00000024446153947273044392000000000000000000,94.2167518608298601,1,True,empty_uri,1750445238554
bibox,Bibox,83,,,2,False,https://www.bibox.com,1750493973623
Camelot,Camelot,79,,,0,,empty_uri,1746731057419
sushi,SushiSwap,81,,,0,,https://sushi.com/,1719351130344
Pancakeswap (Stable),Pancakeswap (Stable),78,,,0,,empty_uri,1743698293003
Camelot V3,Camelot V3,80,,,0,,empty_uri,1747450338483
Fraxswap (Avalanche),Fraxswap (Avalanche),82,,,1,True,empty_uri,1750490396908
